City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Abha,SA,18.2164,42.5053,68.25,43,40,13.8,scattered clouds
79,Chuy,UY,-33.6971,-53.4616,62.56,84,34,11.63,moderate rain
80,Severo-Kurilsk,RU,50.6789,156.125,34.11,97,91,0.31,overcast clouds
81,Kavieng,PG,-2.5744,150.7967,84.38,70,100,7.85,overcast clouds
82,Atambua,ID,-9.1061,124.8925,83.43,51,94,2.1,overcast clouds
83,Karsava,LV,56.7841,27.6883,44.4,90,99,2.42,overcast clouds
84,Kaitangata,NZ,-46.2817,169.8464,52.72,74,85,14.9,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,0,9.22,clear sky
86,Coquimbo,CL,-29.9533,-71.3436,58.48,87,0,3.13,clear sky
87,Richards Bay,ZA,-28.783,32.0377,68.09,89,93,10.58,overcast clouds
88,Lavrentiya,RU,65.5833,-171.0,20.03,89,28,5.95,scattered clouds
89,Burnie,AU,-41.0667,145.9167,60.94,69,77,5.41,broken clouds
90,Cabedelo,BR,-6.9811,-34.8339,74.07,84,67,8.52,broken clouds
91,Zhigansk,RU,66.7697,123.3711,22.73,75,97,6.96,overcast clouds
92,Thompson,CA,55.7435,-97.8558,6.96,61,0,11.5,clear sky
93,Vardo,NO,70.3705,31.1107,35.58,80,75,5.75,broken clouds
94,Souillac,MU,-20.5167,57.5167,77.29,72,38,17.45,scattered clouds
95,Bredasdorp,ZA,-34.5322,20.0403,57.94,60,90,2.84,overcast clouds
96,La Palma,US,33.8464,-118.0467,73.42,38,0,0.0,clear sky
97,Provideniya,RU,64.3833,-173.3,30.36,86,0,4.47,clear sky
98,Arraial Do Cabo,BR,-22.9661,-42.0278,73.9,70,64,9.19,broken clouds
99,Blatnica,BA,44.4864,17.8233,53.37,69,79,3.49,broken clouds
100,Namatanai,PG,-3.6667,152.4333,84.72,66,71,6.24,broken clouds
101,Mataura,NZ,-46.1927,168.8643,53.47,87,96,8.7,overcast clouds
102,Talnakh,RU,69.4865,88.3972,1.2,88,93,3.89,overcast clouds
103,Puerto Escondido,MX,15.85,-97.0667,80.53,75,7,6.82,clear sky
104,Lebu,CL,-37.6167,-73.65,48.43,83,18,8.77,few clouds
105,Komsomolskiy,UZ,40.4272,71.7189,68.72,56,89,4.61,overcast clouds
106,Lompoc,US,34.6391,-120.4579,57.63,90,0,6.26,clear sky
