City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,Asau,RO,60.96,light rain,46.4333,26.4,Casa Mika Ciobanus
322,Necochea,AR,65.97,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
325,Lazaro Cardenas,MX,73.35,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
330,Jiamusi,CN,65.14,overcast clouds,46.8333,130.35,Riversky Hotel
335,Araguacu,BR,71.33,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
336,Russell,US,67.23,clear sky,32.3502,-85.1999,Macs
340,Padilla,CO,67.57,overcast clouds,3.2204,-76.3139,La Granadina
344,Riyadh,SA,71.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
347,Little Rock,US,72.97,overcast clouds,34.7465,-92.2896,DoubleTree by Hilton Hotel Little Rock
357,Tubmanburg,LR,71.29,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
359,Bud,US,67.46,light rain,39.447,-86.1758,Ted McQuinn Trust
360,Hami,CN,72.41,few clouds,42.8,93.45,Laoyutang Resort
361,Ilhabela,BR,72.12,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
363,Arys,KZ,64.44,clear sky,42.4252,68.795,Gostinitsa
365,Ahipara,NZ,61.09,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
379,Mount Gambier,AU,68.29,overcast clouds,-37.8333,140.7667,The Commodore
386,Esperance,AU,73.92,broken clouds,-33.8667,121.9,Hospitality Esperance
391,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
394,Hit,IQ,74.21,broken clouds,33.6416,42.8251,بيت ابو رباح
398,San Quintin,MX,62.04,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
406,Manono,CD,70.05,light rain,-7.3,27.4167,Hotel hewa bora
408,Ballina,AU,70.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
409,Conceicao Do Araguaia,BR,71.26,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
410,Malanje,AO,64.69,overcast clouds,-9.5402,16.341,Hotel Ginga
414,Bennettsville,US,65.03,clear sky,34.6174,-79.6848,Quality Inn
420,Kato Khorion,GR,62.35,few clouds,35.05,25.7833,ARION PALACE HOTEL
424,Maun,BW,68.97,clear sky,-19.9833,23.4167,Enviro Villa
430,Carutapera,BR,74.55,few clouds,-1.195,-46.02,Lidera
432,Bako,ET,65.73,light rain,5.7833,36.5667,Goh Hotel
433,Saint George,US,61.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
437,Piney Green,US,69.73,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
444,Pimentel,PE,65.75,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
454,Ixtapa,MX,73.22,clear sky,20.7,-105.2,hotel la terminal
460,Taltal,CL,61.99,clear sky,-25.4,-70.4833,Residencial Karime
466,Cerritos,US,73.38,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
469,Camacha,PT,60.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
475,Pinehurst,US,65.19,clear sky,35.1954,-79.4695,SpringHill Suites by Marriott Pinehurst Southern Pines
477,Mobile,US,69.89,scattered clouds,30.7835,-88.2,Days Inn by Wyndham North Mobile
478,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
480,Ribeira Brava,PT,64.0,moderate rain,32.65,-17.0667,Hotel do Campo
483,Ushirombo,TZ,66.92,overcast clouds,-3.4919,31.9639,Kigali Hotel
494,Benghazi,LY,64.94,scattered clouds,32.1167,20.0667,Tibesti Hotel
495,Odienne,CI,74.66,broken clouds,9.51,-7.5692,Oustaz Vame DIAKITE
496,Adwa,ET,74.53,clear sky,14.1646,38.8955,Maay Assa Hotel
500,Green Valley,US,67.01,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
508,Korhogo,CI,74.79,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
514,Altamira,BR,71.24,broken clouds,-3.2033,-52.2064,Requinte Hotel
516,Emerald,AU,66.34,light rain,-23.5333,148.1667,The Irish Village
522,Charagua,BO,71.87,few clouds,-19.8,-63.2167,Hotel
523,Gandajika,CD,69.42,broken clouds,-6.75,23.95,Hôtel Memorial
524,Sao Filipe,CV,73.56,clear sky,14.8961,-24.4956,Hotel Xaguate
527,Hutang,CN,71.26,heavy intensity rain,31.5333,119.4833,Dongyuan Restaurant
529,Lavumisa,SZ,68.36,light rain,-27.31,31.892,ROADSIDE B&B
532,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
537,Bayan,CN,71.62,broken clouds,46.0833,127.4,Wanhao Inn
538,Lake City,US,67.71,clear sky,30.1897,-82.6393,Ramada Limited Lake City
543,Flinders,AU,69.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
544,Shieli,KZ,62.04,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
549,Rio Grande,BR,63.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
553,Yokadouma,CM,72.05,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
554,Zemio,CF,72.12,overcast clouds,5.0314,25.1361,OCHA Office
555,Rafaela,AR,72.0,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
559,Kiomboi,TZ,66.51,overcast clouds,-4.2667,34.3667,Noah DS Site
561,Shasta Lake,US,61.52,scattered clouds,40.6804,-122.3708,Shasta Dam Motel
565,Barra Do Garcas,BR,72.55,scattered clouds,-15.89,-52.2567,Pousada Tropical
567,Hede,CN,60.08,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
569,Wuhu,CN,70.56,overcast clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
571,Powell,US,71.6,clear sky,40.1578,-83.0752,The Brig
573,Marsh Harbour,BS,73.74,clear sky,26.5412,-77.0636,Abaco Beach Resort
579,Linhares,BR,74.84,scattered clouds,-19.3911,-40.0722,Hotel Conceição
582,Oktyabrskoye,RU,60.94,clear sky,43.0645,44.7417,Prolesok Mini-hotel
585,Cangucu,BR,60.96,clear sky,-31.395,-52.6756,Tchê Parque
587,Camopi,GF,71.42,broken clouds,3.1655,-52.3158,La pousada
593,Shu,KZ,61.61,scattered clouds,43.5983,73.7614,Shyngyzkhan
594,Basoko,CD,71.92,overcast clouds,1.2391,23.616,Jackyna Hotel
600,Byron Bay,AU,69.94,overcast clouds,-28.65,153.6167,Backpackers Inn
612,Ajdabiya,LY,69.66,scattered clouds,30.7554,20.2263,Almadina Hotel
613,Vieux-Habitants,GP,72.72,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
616,San Carlos Del Zulia,VE,73.78,overcast clouds,9.0,-71.9135,Hotel El Manantial
617,Butembo,CD,61.25,overcast clouds,0.15,29.2833,Hotel Butembo
618,Forio,IT,61.83,clear sky,40.7342,13.8646,Hotel Terme Providence
626,Qixingtai,CN,72.93,overcast clouds,30.4135,111.8874,Hualian Hotel
629,Mercedes,AR,68.86,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
633,Huarmey,PE,67.5,broken clouds,-10.0681,-78.1522,Hotel Miramar
634,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
643,Santa Maria Da Boa Vista,BR,70.59,broken clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
649,Nanzhang,CN,71.67,overcast clouds,31.7765,111.8386,Longmenkezhan
652,Kogon,UZ,73.44,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
656,Mattru,SL,72.75,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
658,Mareeba,AU,71.44,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
666,Pilar,BR,71.53,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
667,La Maddalena,IT,60.96,scattered clouds,41.2142,9.4083,Hotel Il Gabbiano
668,Mbaiki,CF,74.14,overcast clouds,3.8678,17.9892,Motel MBM
671,Barao De Melgaco,BR,73.44,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
674,Chardara,KZ,64.58,clear sky,41.2547,67.9692,Жанаргул
679,Impfondo,CG,73.99,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
680,Dakar,SN,72.48,clear sky,14.6937,-17.4441,Novotel Dakar
682,Stanger,ZA,64.29,overcast clouds,-29.3282,31.2895,Ithala Bank (Stanger)
684,Hualmay,PE,66.87,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
685,San Rafael,AR,63.52,few clouds,-34.6177,-68.3301,Hotel San Rafael
688,Sicamous,CA,61.77,overcast clouds,50.8331,-118.9856,Best Western Sicamous Inn
